t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
99251,baseline,FILE,4,8000.00,20000.00,0.748064,9.749,1.150,120
99435,baseline,FILE,4,8000.00,20000.00,0.598113,9.749,1.150,120
99635,baseline,FILE,4,8000.00,20000.00,0.462028,9.749,1.150,120
99901,baseline,FILE,3,3000.00,8000.00,0.017051,77.612,1.150,120
99902,baseline,FILE,4,8000.00,20000.00,0.631048,9.749,1.150,120
100035,baseline,FILE,3,3000.00,8000.00,0.044928,77.612,1.150,120
100217,baseline,FILE,4,8000.00,20000.00,0.276273,9.749,1.150,120
100516,baseline,FILE,4,8000.00,20000.00,0.298330,9.749,1.150,120
100735,baseline,FILE,4,8000.00,20000.00,0.435573,9.749,1.150,120
100884,baseline,FILE,4,8000.00,20000.00,0.523721,9.749,1.150,120
101368,baseline,FILE,3,3000.00,8000.00,0.004028,77.612,1.150,120
102035,baseline,FILE,3,3000.00,8000.00,0.039590,77.612,1.150,120
102350,baseline,FILE,1,200.00,800.00,0.053183,117.551,1.150,120
102350,baseline,FILE,3,3000.00,8000.00,0.060279,69.851,1.150,120
102350,baseline,FILE,4,8000.00,20000.00,0.173613,9.749,1.150,120
102569,baseline,FILE,1,200.00,800.00,0.016870,117.551,1.150,120
102968,baseline,FILE,4,8000.00,20000.00,0.255247,9.749,1.150,120
103085,baseline,FILE,1,200.00,800.00,0.027809,117.551,1.150,120
103286,baseline,FILE,4,8000.00,20000.00,0.224916,9.749,1.150,120
103386,baseline,FILE,1,200.00,800.00,0.012541,117.551,1.150,120
103551,baseline,FILE,1,200.00,800.00,0.043767,117.551,1.150,120
103702,baseline,FILE,1,200.00,800.00,0.044467,117.551,1.150,120
103703,baseline,FILE,4,8000.00,20000.00,0.342597,9.749,1.150,120
103835,baseline,FILE,4,8000.00,20000.00,0.536097,9.749,1.150,120
104073,MARK,mark-6
104119,baseline,FILE,0,0.00,200.00,0.532596,9.703,1.150,120
104167,baseline,FILE,1,200.00,800.00,0.036975,117.551,1.150,120
104168,baseline,FILE,4,8000.00,20000.00,0.036229,9.749,1.150,120
104320,baseline,FILE,1,200.00,800.00,0.063774,117.551,1.150,120
104536,baseline,FILE,4,8000.00,20000.00,0.134213,9.749,1.150,120
104753,baseline,FILE,4,8000.00,20000.00,0.110864,9.749,1.150,120
104803,baseline,FILE,1,200.00,800.00,0.062424,117.551,1.150,120
105051,baseline,FILE,1,200.00,800.00,0.045712,117.551,1.150,120
105056,MARK,mark-7
105269,baseline,FILE,1,200.00,800.00,0.054661,117.551,1.150,120
105470,baseline,FILE,1,200.00,800.00,0.046236,117.551,1.150,120
105470,baseline,FILE,4,8000.00,20000.00,0.173358,9.749,1.150,120
105687,baseline,FILE,1,200.00,800.00,0.075944,117.551,1.150,120
105901,baseline,FILE,4,8000.00,20000.00,0.149291,9.749,1.150,120
106103,baseline,FILE,2,800.00,3000.00,0.038010,31.243,1.150,120
106103,baseline,FILE,4,8000.00,20000.00,0.043396,9.749,1.150,120
106203,baseline,FILE,1,200.00,800.00,0.050908,117.551,1.150,120
106271,baseline,FILE,4,8000.00,20000.00,0.267960,9.749,1.150,120
106836,baseline,FILE,1,200.00,800.00,0.018374,117.551,1.150,120
106885,baseline,FILE,4,8000.00,20000.00,0.146120,9.749,1.150,120
106969,baseline,FILE,1,200.00,800.00,0.047880,117.551,1.150,120
107304,baseline,FILE,3,3000.00,8000.00,0.026542,69.851,1.150,120
108453,baseline,FILE,0,0.00,200.00,0.050631,9.703,1.150,120
108454,baseline,FILE,2,800.00,3000.00,0.015804,31.243,1.150,120
108820,baseline,FILE,4,8000.00,20000.00,0.026782,7.897,1.150,120
108920,baseline,FILE,0,0.00,200.00,0.110590,9.703,1.150,120
108952,baseline,FILE,4,8000.00,20000.00,0.023801,7.897,1.150,120
109436,baseline,FILE,4,8000.00,20000.00,0.011606,7.107,1.150,120
109753,baseline,FILE,4,8000.00,20000.00,0.015157,7.107,1.150,120
109853,baseline,FILE,2,800.00,3000.00,0.037192,31.243,1.150,120
110170,baseline,FILE,0,0.00,200.00,0.015081,9.703,1.150,120
110220,baseline,FILE,2,800.00,3000.00,0.013739,31.243,1.150,120
110220,baseline,FILE,4,8000.00,20000.00,0.019643,7.107,1.150,120
110853,baseline,FILE,2,800.00,3000.00,0.023908,31.243,1.150,120
111002,baseline,FILE,2,800.00,3000.00,0.013692,31.243,1.150,120
111588,baseline,FILE,0,0.00,200.00,0.038051,9.703,1.150,120
111637,baseline,FILE,2,800.00,3000.00,0.045200,31.243,1.150,120
111687,baseline,FILE,4,8000.00,20000.00,0.029169,7.107,1.150,120
111787,baseline,FILE,0,0.00,200.00,0.052678,9.703,1.150,120
111853,baseline,FILE,4,8000.00,20000.00,0.106973,7.107,1.150,120
111954,baseline,FILE,2,800.00,3000.00,0.026516,31.243,1.150,120
112220,baseline,FILE,2,800.00,3000.00,0.130705,31.243,1.150,120
112321,baseline,FILE,0,0.00,200.00,0.058815,9.703,1.150,120
